Water Area,Scheme,Type,Priority Group,Zone/Location,Current Volume (ML),Maximum Volume (ML),Trading Headroom (ML)
Border Rivers,Macintyre Brook Water Supply Scheme,Supplemented,High Priority,Macintyre Brook Zone A,28.0,488.0,460.0
Border Rivers,Macintyre Brook Water Supply Scheme,Supplemented,High Priority,Macintyre Brook Zone B,460.0,488.0,28.0
Border Rivers,Macintyre Brook Water Supply Scheme,Supplemented,High Priority,Macintyre Brook Zone C,0.0,488.0,488.0
Border Rivers,Macintyre Brook Water Supply Scheme,Supplemented,Medium Priority,Macintyre Brook Zone A,1454.0,18109.0,16655.0
Border Rivers,Macintyre Brook Water Supply Scheme,Supplemented,Medium Priority,Macintyre Brook Zone B,10187.0,18109.0,7922.0
Border Rivers,Macintyre Brook Water Supply Scheme,Supplemented,Medium Priority,Macintyre Brook Zone C,12868.0,24509.0,11641.0
Burnett Basin,Barker Barambah Water Supply Scheme,Supplemented,High Priority,Barambah Zone HB,0.0,0.0,0.0
Burnett Basin,Barker Barambah Water Supply Scheme,Supplemented,High Priority,Barambah Zone HC,450.0,450.0,0.0
Burnett Basin,Barker Barambah Water Supply Scheme,Supplemented,High Priority,Barambah Zone HD,1786.0,1786.0,0.0
Burnett Basin,Barker Barambah Water Supply Scheme,Supplemented,High Priority,Barambah Zone HE,0.0,0.0,0.0
Burnett Basin,Barker Barambah Water Supply Scheme,Supplemented,High Priority,Barambah Zone HZ,0.0,0.0,0.0
Burnett Basin,Barker Barambah Water Supply Scheme,Supplemented,High Priority,Barambah Zone JA,0.0,0.0,0.0
Burnett Basin,Barker Barambah Water Supply Scheme,Supplemented,Medium Priority,Barambah Zone HD,1672.0,2577.0,905.0
Burnett Basin,Barker Barambah Water Supply Scheme,Supplemented,Medium Priority,Barambah Zone HB,10567.0,16661.0,6094.0
Burnett Basin,Barker Barambah Water Supply Scheme,Supplemented,Medium Priority,Barambah Zone HZ,5724.0,6659.0,935.0
Burnett Basin,Barker Barambah Water Supply Scheme,Supplemented,Medium Priority,Barambah Zone HC,6977.0,15321.0,8344.0
Burnett Basin,Barker Barambah Water Supply Scheme,Supplemented,Medium Priority,Barambah Zone HZ,5724.0,6659.0,935.0
Burnett Basin,Barker Barambah Water Supply Scheme,Supplemented,Medium Priority,Barambah Zone HE,4343.0,4501.0,158.0
Burnett Basin,Barker Barambah Water Supply Scheme,Supplemented,Medium Priority,Barambah Zone JA,2638.0,2721.0,83.0
Burnett Basin,Barker Barambah Water Management Area,Unsupplemented,Unsupplemented,Barambah Zone HJ,3799.0,4749.0,950.0
Burnett Basin,Barker Barambah Water Management Area,Unsupplemented,Unsupplemented,Barambah Zone HK,3835.0,4794.0,959.0
Burnett Basin,Barker Barambah Water Management Area,Unsupplemented,Unsupplemented,Barambah Zone HL,1003.0,1254.0,251.0
Burnett Basin,Barker Barambah Water Management Area,Unsupplemented,Unsupplemented,Barambah Zone JD,1040.0,1300.0,260.0
Burnett Basin,Barker Barambah Water Management Area,Unsupplemented,Unsupplemented,Barker Zone JC,45.0,56.0,11.0
Burnett Basin,Boyne River and Tarong Water Supply Scheme,Supplemented,High Priority,Boyne Zone KA,33920.0,37714.0,3794.0
Burnett Basin,Boyne River and Tarong Water Supply Scheme,Supplemented,High Priority,Boyne Zone LA,0.0,0.0,0.0
Burnett Basin,Boyne River and Tarong Water Supply Scheme,Supplemented,Medium Priority,Boyne Zone KA,100.0,13309.0,13209.0
Burnett Basin,Boyne River and Tarong Water Supply Scheme,Supplemented,Medium Priority,Boyne Zone LA,9385.0,13309.0,3924.0
Burnett Basin,Bundaberg Water Supply Scheme,Supplemented,High Priority,Burnett Zone CA,34323.0,36570.0,2247.0
Burnett Basin,Bundaberg Water Supply Scheme,Supplemented,High Priority,Burnett Zone CB,2225.0,37050.0,34825.0
Burnett Basin,Bundaberg Water Supply Scheme,Supplemented,High Priority,Burnett Zone GZ,500.0,20000.0,19500.0
Burnett Basin,Bundaberg Water Supply Scheme,Supplemented,High Priority,Kolan Zone AA,3280.0,3600.0,320.0
Burnett Basin,Bundaberg Water Supply Scheme,Supplemented,High Priority,Kolan Zone AB,53.0,105.0,52.0
Burnett Basin,Bundaberg Water Supply Scheme,Supplemented,High Priority,Kolan Zone AC,0.0,280.0,280.0
Burnett Basin,Bundaberg Water Supply Scheme,Supplemented,High Priority,Kolan Zone AD,3991.0,4190.0,199.0
Burnett Basin,Bundaberg Water Supply Scheme,Supplemented,Medium Priority,Burnett Zone CA,175085.0,189325.0,14240.0
Burnett Basin,Bundaberg Water Supply Scheme,Supplemented,Medium Priority,Burnett Zone CB,30927.0,156760.0,125833.0
Burnett Basin,Bundaberg Water Supply Scheme,Supplemented,Medium Priority,Burnett Zone GZ,21644.0,41235.0,19591.0
Burnett Basin,Bundaberg Water Supply Scheme,Supplemented,Medium Priority,Kolan Zone AA,38055.0,42553.0,4498.0
Burnett Basin,Bundaberg Water Supply Scheme,Supplemented,Medium Priority,Kolan Zone AB,2696.0,6790.0,4094.0
Burnett Basin,Bundaberg Water Supply Scheme,Supplemented,Medium Priority,Kolan Zone AC,2117.0,5160.0,3043.0
Burnett Basin,Bundaberg Water Supply Scheme,Supplemented,Medium Priority,Kolan Zone AD,60933.0,67180.0,6247.0
Burnett Basin,Lower Burnett and Kolan Rivers Water Management Area,Unsupplemented,Unsupplemented,Burnett Zone CA,1311.0,1828.0,517.0
Burnett Basin,Lower Burnett and Kolan Rivers Water Management Area,Unsupplemented,Unsupplemented,Burnett Zone CB,462.0,646.0,184.0
Burnett Basin,Lower Burnett and Kolan Rivers Water Management Area,Unsupplemented,Unsupplemented,Kolan Zone AA,279.0,335.0,56.0
Burnett Basin,Lower Burnett and Kolan Rivers Water Management Area,Unsupplemented,Unsupplemented,Kolan Zone AB,0.0,170.0,170.0
Burnett Basin,Lower Burnett and Kolan Rivers Water Management Area,Unsupplemented,Unsupplemented,Kolan Zone AC,570.0,788.0,218.0
Burnett Basin,Upper Burnett Water Supply Scheme,Supplemented,High Priority,Burnett/Auburn Zone MA,0.0,0.0,0.0
Burnett Basin,Upper Burnett Water Supply Scheme,Supplemented,High Priority,Burnett Zone GB,0.0,0.0,0.0
Burnett Basin,Upper Burnett Water Supply Scheme,Supplemented,High Priority,Burnett Zone GY,0.0,180.0,180.0
Burnett Basin,Upper Burnett Water Supply Scheme,Supplemented,High Priority,Burnett Zone GZ,0.0,0.0,0.0
Burnett Basin,Upper Burnett Water Supply Scheme,Supplemented,High Priority,Burnett Zone MA,0.0,0.0,0.0
Burnett Basin,Upper Burnett Water Supply Scheme,Supplemented,High Priority,Burnett Zone NA,0.0,1000.0,1000.0
Burnett Basin,Upper Burnett Water Supply Scheme,Supplemented,High Priority,Burnett Zone NB,850.0,0.0,0.0
Burnett Basin,Upper Burnett Water Supply Scheme,Supplemented,High Priority,Burnett Zone NC,0.0,0.0,0.0
Burnett Basin,Upper Burnett Water Supply Scheme,Supplemented,High Priority,Burnett Zone OA,320.0,320.0,0.0
Burnett Basin,Upper Burnett Water Supply Scheme,Supplemented,High Priority,Burnett Zone OB,0.0,0.0,0.0
Burnett Basin,Upper Burnett Water Supply Scheme,Supplemented,High Priority,Burnett Zone OC,200.0,350.0,150.0
Burnett Basin,Upper Burnett Water Supply Scheme,Supplemented,High Priority,Burnett Zone OD,0.0,0.0,0.0
Burnett Basin,Upper Burnett Water Supply Scheme,Supplemented,High Priority,Burnett Zone PA,0.0,0.0,0.0
Burnett Basin,Upper Burnett Water Supply Scheme,Supplemented,High Priority,Nogo Zone SA,0.0,0.0,0.0
Burnett Basin,Upper Burnett Water Supply Scheme,Supplemented,High Priority,Burnett/Nogo Zone SB,10.0,10.0,0.0
Burnett Basin,Upper Burnett Water Supply Scheme,Supplemented,Medium Priority,Burnett Zone OB,6755.0,11338.0,4583.0
Burnett Basin,Upper Burnett Water Supply Scheme,Supplemented,Medium Priority,Burnett Zone OC,1328.0,4283.0,2955.0
Burnett Basin,Upper Burnett Water Supply Scheme,Supplemented,Medium Priority,Burnett Zone SA,950.0,4000.0,3050.0
Burnett Basin,Upper Burnett Water Supply Scheme,Supplemented,Medium Priority,Burnett/Nogo Zone SB,1050.0,4050.0,3000.0
Burnett Basin,Upper Burnett Water Supply Scheme,Supplemented,Medium Priority,Burnett Zone NC,7867.0,20507.0,12640.0
Burnett Basin,Upper Burnett Water Supply Scheme,Supplemented,Medium Priority,Burnett/Auburn Zone MA,1346.0,10593.0,9247.0
Burnett Basin,Upper Burnett Water Supply Scheme,Supplemented,Medium Priority,Burnett Zone OA,11427.0,16253.0,4826.0
Burnett Basin,Upper Burnett Water Supply Scheme,Supplemented,Medium Priority,Burnett Zone OD,390.0,1560.0,1170.0
Burnett Basin,Upper Burnett Water Supply Scheme,Supplemented,Medium Priority,Burnett Zone PA,1170.0,1560.0,390.0
Burnett Basin,Upper Burnett Water Supply Scheme,Supplemented,Medium Priority,Burnett Zone GY,2908.0,14444.0,11536.0
Burnett Basin,Upper Burnett Water Supply Scheme,Supplemented,Medium Priority,Burnett Zone GB,2646.0,7363.0,4717.0
Burnett Basin,Upper Burnett Water Supply Scheme,Supplemented,Medium Priority,Burnett Zone NA,3717.0,8601.0,4884.0
