Basin,Water Management Protocol Link,Entity held in reserve for,Location,Reserve Volume (ML),Purpose
Barron,https://www.dlgwv.qld.gov.au/__data/assets/pdf_file/0011/1727453/barron-water-management-protocol.pdf,Not Defined,"Subcatchment A, Zone C Lake Placid",4000.0,Strategic
Mary Basin,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0004/1862482/mary-basin-water-management-protocol.pdf,Sunwater,Mary River from the Mary Barrage AMTD 59.3km to AMTD 85.0km,50000.0,Strategic
Mary Basin,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0004/1862482/mary-basin-water-management-protocol.pdf,Fraser Coast Regional Council,"Mary River from the Mary Barrage AMTD 59.3km to AMTD 85.0km Tinana Creek from the Tinana Barrage AMTD 1.6km to the upstream limit of Teddington Weir, Minni Minni Creek",6000.0,Strategic
Mary Basin,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0004/1862482/mary-basin-water-management-protocol.pdf,Any,Mary Basin Water Plan area,5000.0,Strategic
Mary Basin,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0004/1862482/mary-basin-water-management-protocol.pdf,Gympie Regional Council,"Zones within Mary Valley Water Supply Scheme, Mary River",4000.0,Strategic
Mary Basin,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0004/1862482/mary-basin-water-management-protocol.pdf,Queensland Bulk Water Supply Authority,Six Mile Creek at Six Mile Creek Dam,2500.0,Strategic
Mary Basin,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0004/1862482/mary-basin-water-management-protocol.pdf,Queensland Bulk Water Supply Authority,Addlington Creek at Ewen Maddock Dam,2985.0,Strategic
Border Rivers & Moonie,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0004/1434748/border-rivers-moonie-protocol.pdf,Not Defined,Stanthorpe water management area,1740.0,Coordinated project
Border Rivers & Moonie,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0004/1434748/border-rivers-moonie-protocol.pdf,Not Defined,Stanthorpe water management area,1500.0,Town water supply
Border Rivers & Moonie,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0004/1434748/border-rivers-moonie-protocol.pdf,Not Defined,Stanthorpe water management area,1060.0,Any
Border Rivers & Moonie,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0004/1434748/border-rivers-moonie-protocol.pdf,Not Defined,Stanthorpe water management area,200.0,For helping an Aboriginal community achieve its economic and social aspirations
Border Rivers & Moonie,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0004/1434748/border-rivers-moonie-protocol.pdf,Not Defined,Moonie water management area,100.0,For helping an Aboriginal community achieve its economic and social aspirations
Burdekin Basin,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0008/1447478/burdekin-basin-water-management-protocol-2019.pdf,Not Defined,Subcatchment A,50000.0,General reserve
Burdekin Basin,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0008/1447478/burdekin-basin-water-management-protocol-2019.pdf,Not Defined,Subcatchment B,5000.0,General reserve
Burdekin Basin,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0008/1447478/burdekin-basin-water-management-protocol-2019.pdf,Not Defined,Subcatchment E,130000.0,General reserve
Burdekin Basin,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0008/1447478/burdekin-basin-water-management-protocol-2019.pdf,Not Defined,Subcatchment F,5000.0,General reserve
Burdekin Basin,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0008/1447478/burdekin-basin-water-management-protocol-2019.pdf,Not Defined,Subcatchment G,10000.0,General reserve
Burdekin Basin,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0008/1447478/burdekin-basin-water-management-protocol-2019.pdf,Not Defined,Subcatchment E,9200.0,Strategic reserve for State purposes
Burdekin Basin,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0008/1447478/burdekin-basin-water-management-protocol-2019.pdf,Not Defined,Subcatchment F,5000.0,Strategic reserve for State purposes
Burdekin Basin,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0008/1447478/burdekin-basin-water-management-protocol-2019.pdf,Not Defined,Subcatchment G,10000.0,Strategic reserve for State purposes
Burdekin Basin,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0008/1447478/burdekin-basin-water-management-protocol-2019.pdf,Not Defined,Subcatchment D,8744.0,SunWater reserve
Burdekin Basin,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0008/1447478/burdekin-basin-water-management-protocol-2019.pdf,Not Defined,Subcatchment B,150000.0,Strategic reserve for a future raising of Burdekin Falls Dam
Burdekin Basin,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0008/1447478/burdekin-basin-water-management-protocol-2019.pdf,Not Defined,Subcatchment C,150000.0,Strategic reserve for water infrastructure for the Bowen and Broken subcatchments
Cape York,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0005/1448546/cape-york-water-management-protocol.pdf,Not Defined,Archer,25000.0,Strategic
Cape York,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0005/1448546/cape-york-water-management-protocol.pdf,Not Defined,Archer,89000.0,CYPHA
Cape York,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0005/1448546/cape-york-water-management-protocol.pdf,Not Defined,Coleman,56000.0,CYPHA
Cape York,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0005/1448546/cape-york-water-management-protocol.pdf,Not Defined,Ducie,46000.0,CYPHA
Cape York,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0005/1448546/cape-york-water-management-protocol.pdf,Not Defined,Embley,8000.0,CYPHA
Cape York,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0005/1448546/cape-york-water-management-protocol.pdf,Not Defined,Endeavour,16000.0,CYPHA
Cape York,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0005/1448546/cape-york-water-management-protocol.pdf,Not Defined,Holroyd,68500.0,CYPHA
Cape York,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0005/1448546/cape-york-water-management-protocol.pdf,Not Defined,Jacky Jacky,1500.0,CYPHA
Cape York,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0005/1448546/cape-york-water-management-protocol.pdf,Not Defined,Jardine,49000.0,CYPHA
Cape York,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0005/1448546/cape-york-water-management-protocol.pdf,Not Defined,Lockhart,6300.0,CYPHA
Cape York,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0005/1448546/cape-york-water-management-protocol.pdf,Not Defined,Normanby,16000.0,CYPHA
Cape York,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0005/1448546/cape-york-water-management-protocol.pdf,Not Defined,Olive–Pascoe,48000.0,CYPHA
Cape York,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0005/1448546/cape-york-water-management-protocol.pdf,Not Defined,Stewart,5000.0,CYPHA
Cape York,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0005/1448546/cape-york-water-management-protocol.pdf,Not Defined,Wenlock,76000.0,CYPHA
